infinitive,1p_sing,2p_sing,3p_sing,1p_plur,2p_plur,3p_plur,definition
мати,маю,маєш,має,маємо,маєте,мають,to have
радити,раджу,радиш,радить,радимо,радите,радять,"to advise, to counsel, to recommend (somebody to do something — кому́сь (dative) + infinitive)"
продавати,продаю,продаєш,продає,продаємо,продаєте,продають,to sell (to agree to transfer goods or provide services)
слати,шлю,шлеш,шле,шлемо,шлете,шлють,to send
слати,стелю,стелеш,стеле,стелемо,стелете,стелють,"to spread, to lay, to make (bed)"
правити,правлю,правиш,править,правимо,правите,правлять,"to rule, to govern (+ insturmental)"
пити,п'ю,п'єш,п'є,п'ємо,п'єте,п'ють,to drink
мислити,мислю,мислиш,мислить,мислимо,мислите,мислять,to think
судити,суджу,судиш,судить,судимо,судите,судять,"to judge, to try, to adjudicate"
питати,питаю,питаєш,питає,питаємо,питаєте,питають,to ask
учити,учу,учиш,учить,учимо,учите,учать,to teach (with person in accusative case + noun in genitive case or + infinitive)
чути,чую,чуєш,чує,чуємо,чуєте,чують,to hear
ловити,ловлю,ловиш,ловить,ловимо,ловите,ловлять,to catch (to seize or intercept an object moving through the air or some other medium)
читати,читаю,читаєш,читає,читаємо,читаєте,читають,to read
орати,орю,ореш,оре,оремо,орете,орють,"to plough/plow, to till"
бити,б'ю,б'єш,б'є,б'ємо,б'єте,б'ють,"to beat, to hit, to strike"
почивати,почиваю,почиваєш,почиває,почиваємо,почиваєте,почивають,"to rest, to fall asleep"
лежати,лежу,лежиш,лежить,лежимо,лежите,лежать,to lie (to be in a horizontal position; usually followed by the preposition на and the locative case)
хвалити,хвалю,хвалиш,хвалить,хвалимо,хвалите,хвалять,"to praise, to commend, to compliment, to laud"
плакати,плачу,плачеш,плаче,плачемо,плачете,плачуть,"to cry, to weep"
просити,прошу,просиш,просить,просимо,просите,просять,"to ask for, to beg for"
ходити,ходжу,ходиш,ходить,ходимо,ходите,ходять,to go
любити,люблю,любиш,любить,любимо,любите,люблять,"to like, to love (platonically or aesthetically)"
благословити,благословлю,благословиш,благословить,благословимо,благословите,благословлять,Synonym of благословля́ти impf (blahoslovljáty)
кричати,кричу,кричиш,кричить,кричимо,кричите,кричать,"to shout, to cry, to holler, to yell"
творити,творю,твориш,творить,творимо,творите,творять,"to create, make, produce"
казати,кажу,кажеш,каже,кажемо,кажете,кажуть,"to say, to tell"
пасти,пасу,пасеш,пасе,пасемо,пасете,пасуть,"to graze, to pasture, to shepherd"
мазати,мажу,мажеш,маже,мажемо,мажете,мажуть,"to smear, to spread"
класти,кладу,кладеш,кладе,кладемо,кладете,кладуть,"to put, to place, to lay"
точити,точу,точиш,точить,точимо,точите,точать,"to cause to flow, to cause to run, to flow"
точити,точу,точиш,точить,точимо,точите,точать,"to sharpen, to hone, to whet"
точити,точу,точиш,точить,точимо,точите,точать,"to sift, to sieve, to strain (to remove inedible parts from wheat, peas, rice etc. by sifting)"
гонити,гоню,гониш,гонить,гонимо,гоните,гонять,"to chase, to pursue"
чистити,чищу,чистиш,чистить,чистимо,чистите,чистять,to clean
красти,краду,крадеш,краде,крадемо,крадете,крадуть,to steal
палити,палю,палиш,палить,палимо,палите,палять,to burn (to cause to be consumed by fire)
корити,корю,кориш,корить,коримо,корите,корять,"to scold, to reprimand, to criticize"
говорити,говорю,говориш,говорить,говоримо,говорите,говорять,"to speak, to talk"
нести,несу,несеш,несе,несемо,несете,несуть,to carry (on foot)
садити,саджу,садиш,садить,садимо,садите,садять,to plant (place in soil)
плести,плету,плетеш,плете,плетемо,плетете,плетуть,"to braid, to plait"
жити,живу,живеш,живе,живемо,живете,живуть,to live
водити,воджу,водиш,водить,водимо,водите,водять,"to lead, to conduct"
носити,ношу,носиш,носить,носимо,носите,носять,to carry
брати,беру,береш,бере,беремо,берете,беруть,"to take, to grab; but while брати is generic, дістати means ""to take out (from, e.g. the fridge or a box)"" and it is followed by the preposition з."
стенати,стенаю,стенаєш,стенає,стенаємо,стенаєте,стенають,"to groan, to wail, to weep"
стенати,стенаю,стенаєш,стенає,стенаємо,стенаєте,стенають,to shrug
рити,рию,риєш,риє,риємо,риєте,риють,"to dig, to excavate"
рити,рию,риєш,риє,риємо,риєте,риють,to engrave
лити,ллю,ллєш,ллє,ллємо,ллєте,ллють,to pour
знати,знаю,знаєш,знає,знаємо,знаєте,знають,to know
вести,веду,ведеш,веде,ведемо,ведете,ведуть,"to lead, to conduct"
готовити,готовлю,готовиш,готовить,готовимо,готовите,готовлять,"to prepare, to make ready, to arrange"
мести,мету,метеш,мете,метемо,метете,метуть,to sweep
чесати,чешу,чешеш,чеше,чешемо,чешете,чешуть,to comb (hair)
плавати,плаваю,плаваєш,плаває,плаваємо,плаваєте,плавають,to swim
падати,падаю,падаєш,падає,падаємо,падаєте,падають,to drop
копати,копаю,копаєш,копає,копаємо,копаєте,копають,to dig
копати,копаю,копаєш,копає,копаємо,копаєте,копають,to kick
лизати,лижу,лижеш,лиже,лижемо,лижете,лижуть,to lick
томити,томлю,томиш,томить,томимо,томите,томлять,"to tire, to exhaust, to wear out"
гнити,гнию,гниєш,гниє,гниємо,гниєте,гниють,"to rot, to putrefy, to go bad, to decay, to decompose"
бачити,бачу,бачиш,бачить,бачимо,бачите,бачать,to see (perceive with the eyes)
ставити,ставлю,ставиш,ставить,ставимо,ставите,ставлять,"to put, to place, to set"
шити,шию,шиєш,шиє,шиємо,шиєте,шиють,to sew
молити,молю,молиш,молить,молимо,молите,молять,"to implore, to entreat, to beseech"
істи,ім,іси,ість,імо,істе,ідять,to eat (consume)
нападати,нападаю,нападаєш,нападає,нападаємо,нападаєте,нападають,"to attack, to assault, to descend (on), to fall upon"
кувати,кую,куєш,кує,куємо,куєте,кують,to forge
кувати,кую,куєш,кує,куємо,куєте,кують,to cuckoo (to make a sound of a cuckoo)
слухати,слухаю,слухаєш,слухає,слухаємо,слухаєте,слухають,"to listen, to hear"
